layer	position	rank	lane	value_hex	value
2	9	1	16	0xc05bad85	-3.4324657917022705
2	9	2	277	0x401c4d77	2.442228078842163
2	9	3	96	0x3fe429c1	1.7825242280960083
2	10	0	35	0x40ba2710	5.817268371582031
2	10	1	277	0x408067ea	4.0126848220825195
2	10	2	7	0xc06b219f	-3.673927068710327
2	10	3	16	0xc006da5a	-2.107077121734619
2	11	0	35	0x408b7c31	4.358910083770752
2	11	1	277	0x4088f461	4.279831409454346
2	11	2	181	0x40176a3e	2.3658595085144043
2	11	3	171	0xc00d7326	-2.210153102874756
2	12	0	35	0x40794c50	3.895282745361328
2	12	1	277	0x4058a154	3.3848466873168945
2	12	2	265	0x4054ccd3	3.3250014781951904
2	12	3	193	0xc02c2edd	-2.6903603076934814
2	13	0	35	0x408525f9	4.160885334014893
2	13	1	277	0x403e5905	2.9741833209991455
2	13	2	132	0xc0148ed0	-2.321216583251953
2	13	3	164	0xc009bb56	-2.1520590782165527
2	14	0	35	0x40b5afb5	5.677698612213135
2	14	1	277	0x4080073f	4.000884532928467
2	14	2	122	0xc04ea314	-3.228703498840332
2	14	3	236	0xc02055aa	-2.5052285194396973
2	15	0	35	0x408ca287	4.394839763641357
2	15	1	277	0x4085b718	4.178600311279297
2	15	2	0	0xc0232b53	-2.5495193004608154
2	15	3	147	0x3ff6f14b	1.9292386770248413
2	16	0	35	0x40cb8071	6.359428882598877
2	16	1	277	0x408ee9ae	4.466025352478027
2	16	2	7	0xc0496248	-3.1466236114501953
2	16	3	9	0xc041c973	-3.0279204845428467
2	17	0	35	0x40a840fb	5.257932186126709
2	17	1	277	0x408a704e	4.32620906829834
2	17	2	161	0x4033a997	2.8072259426116943
2	17	3	12	0x4001de1d	2.029181718826294
3	0	0	35	0x45c8f293	6430.32177734375
3	0	1	13	0x441d7f18	629.98583984375
3	0	2	1	0x43b6f455	365.9088439941406
3	0	3	277	0xc3184c6a	-152.29849243164062
3	1	0	35	0x40eae554	7.340494155883789
3	1	1	277	0x40aad6d0	5.338722229003906
3	1	2	157	0xc02e20da	-2.720755100250244
3	1	3	171	0xc028b7de	-2.6362223625183105
3	2	0	35	0x40a6d9ca	5.214085578918457
3	2	1	277	0x40763640	3.8470611572265625
3	2	2	265	0x40703563	3.753258466720581
3	2	3	186	0xc02f75dc	-2.7415685653686523
3	3	0	35	0x40ade6ae	5.434409141540527
3	3	1	277	0x4056ad02	3.354309558868408
3	3	2	164	0xc0317784	-2.7729196548461914
3	3	3	132	0xc01e5616	-2.4740042686462402
3	4	0	35	0x40e53378	7.162532806396484
3	4	1	277	0x409a676e	4.825125694274902
3	4	2	122	0xc050c7ff	-3.262206792831421
3	4	3	236	0xc026ae44	-2.604386329650879
3	5	0	35	0x40917767	4.545825481414795
3	5	1	277	0x408ed3d3	4.463357448577881
3	5	2	0	0xc01f84c1	-2.4924776554107666
3	5	3	147	0x40137740	2.3041534423828125
3	6	0	35	0x410ef56f	8.934920310974121
3	6	1	277	0x40bb41dc	5.851789474487305
3	6	2	7	0xc06cedc6	-3.702012538909912
3	6	3	9	0xc05dd00e	-3.4658236503601074
3	7	0	35	0x40eaff00	7.3436279296875
3	7	1	277	0x409bb02d	4.865255832672119
3	7	2	161	0x403d8d5a	2.961752414703369
3	7	3	23	0xc01ec18c	-2.480563163757324
3	8	0	35	0x40f3b067	7.615283489227295
3	8	1	277	0x408d0d5a	4.407879829406738
3	8	2	148	0x4031c7d8	2.777822494506836
3	8	3	146	0x40263bf0	2.5974082946777344
3	9	0	35	0x410bb31c	8.73122787475586
3	9	1	16	0xc0744526	-3.816720485687256
3	9	2	277	0x4049233a	3.142775058746338
3	9	3	7	0xc02142a1	-2.5196917057037354
3	10	0	35	0x4111bdcc	9.108837127685547
3	10	1	277	0x409dcffb	4.931638240814209
3	10	2	7	0xc09a6b57	-4.825603008270264
3	10	3	16	0xc01aef7a	-2.4208664894104004
3	11	0	35	0x40c995f3	6.299554347991943
3	11	1	277	0x40931764	4.59660530090332
3	11	2	181	0x4024d6a2	2.5756001472473145
3	11	3	157	0xc01cd3f5	-2.45043683052063
3	12	0	35	0x40930733	4.594628810882568
3	12	1	265	0x406a8c52	3.6648144721984863
3	12	2	277	0x4062b071	3.5420191287994385
3	12	3	193	0xc0350ead	-2.8290207386016846
3	13	0	35	0x40ba6d92	5.825875282287598
3	13	1	277	0x40610652	3.5160107612609863
3	13	2	164	0xc02ffb5a	-2.749716281890869
3	13	3	132	0xc021539e	-2.520728588104248
3	14	0	35	0x40f47812	7.639657020568848
3	14	1	277	0x409c43a7	4.88325834274292
3	14	2	122	0xc0595da2	-3.3963398933410645
3	14	3	156	0xc02d8262	-2.711082935333252
3	15	0	35	0x409e8c95	4.954660892486572
3	15	1	277	0x4087f152	4.248208045959473
3	15	2	0	0xc02f078d	-2.7348358631134033
3	15	3	147	0x40121f4f	2.283160924911499
3	16	0	35	0x4111421f	9.078642845153809
3	16	1	277	0x40b33b40	5.600982666015625
